Duration (s),Throughput (MiB/s)
33.867,30.236
42.933,23.851
41.932,24.42
33.622,30.456
46.335,22.1
46.454,22.043
42.649,24.01
36.538,28.026
40.813,25.09
52.956,19.337
39.819,25.716
29.822,34.337
37.857,27.049
38.762,26.418
29.703,34.475
35.826,28.583
38.585,26.539
29.542,34.663
37.277,27.47
36.967,27.7
36.464,28.083
42.822,23.913
41.535,24.654
39.928,25.646
45.727,22.394
39.373,26.008
43.033,23.796
52.357,19.558
41.895,24.442
40.715,25.15
