Duration (s),Throughput (MiB/s)
15.208,67.334
10.134,101.042
10.397,98.493
10.157,100.814
10.281,99.604
10.772,95.063
10.292,99.491
10.565,96.921
10.381,98.646
10.092,101.471
10.012,102.275
10.348,98.958
10.32,99.224
10.189,10.189
10.03,102.098
10.253,99.874
10.332,99.111
10.279,99.624
10.266,99.745
10.117,101.213
10.175,100.637
10.212,100.275
10.379,98.662
10.147,100.915
10.427,98.203
10.255,99.855
10.245,99.949
10.096,101.428
10.158,100.809
10.164,100.747
