Duration (s),Throughput (MiB/s)
10.332,99.113
10.164,100.743
10.189,100.501
11.593,88.332
11.277,90.803
10.159,100.799
11.214,91.313
11.143,91.895
10.228,100.118
11.091,92.33
14.094,72.655
10.146,100.928
11.385,89.944
11.028,92.857
10.253,99.869
10.967,93.372
11.398,89.844
10.714,95.574
11.399,89.829
11.236,91.136
10.15,100.884
12.369,82.79
11.253,91.001
10.155,100.837
10.958,93.446
11.43,89.588
10.197,100.426
12.103,84.604
11.552,88.642
10.153,100.861
