Duration (s),Throughput (MiB/s)
187.018,5.475
221.133,4.631
201.852,5.073
178.295,5.743
228.005,4.491
217.356,4.711
216.916,4.721
229.682,4.458
160.541,6.378
189.726,5.397
185.68,5.515
191.834,5.338
222.88,4.594
163.558,6.261
202.217,5.064
212.462,4.82
171.525,5.97
235.608,4.346
222.899,4.594
232.853,4.398
217.789,4.702
179.043,5.719
166.176,6.162
205.21,4.99
217.717,4.703
183.365,5.585
258.097,3.967
154.644,6.622
153.565,6.668
169.2,6.052
